Name, Vorname;Geburtsjahr;Berufsschlüssel;Beruf/Stand;Geschlecht;Partei;Land;Platz;Wahlkreis
Frentzen, Manfred ;1948;46;Pflasterer;1;NPD;;   ;109
Frenzel, Norbert ;1952;75;Vereidigter Buchprüfer, Steuerberater;1;FREIE WÄHLER;BY;39;245
Frenzel, Ulrich ;1957;78;Industrie-Kaufmann;1;AfD;NW;38;
Fresdorf, Sven Paul ;1977;81;Angestellter, Diplom-Wirtschaftsjurist (FH);1;FDP;;   ;78
Freudenstein, Dr. Astrid ;1973;76;Akademische Rätin;2;CSU;BY;38;
Freudigmann, Klaus ;1942;31;Elektromechaniker;1;MLPD;BE;7;
Freund, Birsen ;1977;99;Selbständig;2;PIRATEN;;   ;122
Frey, Dr. Matthias ;1964;81;Direktor des Amtsgerichtes;1;FDP;RP;12;
Frick, Claudia ;1983;88;Diplom-Meteorologin;2;PIRATEN;RP;2;202
Frick, Jörg ;1974;69;Bankkaufmann, Abteilungsdirektor;1;FREIE WÄHLER;;   ;111
Fricke, Andre Patrick ;1985;88;Politikwissenschaftler;1;DIE LINKE;;   ;50
Fricke, Otto ;1965;81;Rechtsanwalt;1;FDP;NW;4;110
Fricke, Sven ;1964;60;Elektroingenieur;1;FDP;ST;3;69
Fricke, Walter ;1955;82;Journalist;1;Anderer KWV;;   ;80
Fricker, Sabine ;1957;78;Angestellte;2;MLPD;SL;2;
Friedel, Lea Joy ;1993;98;Arbeitslos;2;Die PARTEI;;   ;85
Friedhoff, Peter ;1970;75;Unternehmensberater;1;FDP;NI;13;32
Friedrich, Dr. Hans-Peter ;1957;76;MdB, Bundesminister;1;CSU;BY;2;239
Friedrich, Klaus-Jürgen ;1950;60;Diplom-Ingenieur für Umwelt- und Hygienetechnik (FH);1;FDP;RP;7;202
Friedrich, Marcus ;1973;78;Angestellter;1;PIRATEN;;   ;90
Friedrich, Peter ;1957;75;Unternehmensberater;1;AfD;;   ;262
Friedrich, Ralf ;1966;95;Rentner;1;NPD;TH;13;
Friemann-Jennert, Maika ;1964;76;Mitglied des Landtages;2;CDU;MV;9;
Fries, Jan Burkhard ;1984;74;Lagerarbeiter;1;NPD;;   ;250
Friese, Adrian ;1989;94;Student;1;PIRATEN;;   ;280
Frieser, Michael Edwin ;1964;76;MdB, Rechtsanwalt;1;CSU;BY;16;245
Frings, Hans-Josef ;1958;87;Kommunikationstrainer, Coach;1;AfD;NW;37;97
Fritsche, Nicole ;1979;78;Angestellte;2;DIE LINKE;BY;5;221
Fritz, Dr. Martin Ulrich ;1956;75;Geschäftsführer;1;AfD;;   ;118
Fritzen, Maria-Elisabeth ;1962;76;MdL, Historikerin;2;GRÜNE;;   ;9
Fröhlich, Dr. Patrick ;1981;88;Staatswissenschaftler;1;CSU;BY;57;
Fröhlich, Jakobus ;1945;95;Rentner;1;MLPD;;   ;139
Frölich, Dr. Walter ;1948;88;Diplom-Agrarbiologe;1;ÖDP;BW;14;266
Frölich, Günther ;1954;60;Diplom-Ingenieur;1;FREIE WÄHLER;BW;11;265
Frömgen, Wilhelm Alexander ;1982;62;Maschinenbautechniker;1;PIRATEN;;   ;110
Frömming, Götz ;1968;87;Studiendirektor;1;AfD;BE;9;
Frünke, Manfred Stefan ;1955;75;Elektronikingenieur (FH), selbstständig;1;FDP;SN;9;163
Fuchs, Claudia ;1965;75;Steuerberaterin;2;FDP;SL;3;
Fuchs, David ;1987;94;Student;1;Die PARTEI;NW;18;
Fuchs, Dr. Michael ;1949;76;MdB, Kaufmann;1;CDU;RP;5;200
Fuchs, Harald Roland ;1966;88;Diplom-Sozialwirt;1;GRÜNE;BY;26;244
Fuchs, Horst ;1944;95;Schreiner i.R.;1;NPD;;   ;248
Fuchs, Klaus ;1954;31;Kommunikationselektroniker;1;MLPD;ST;5;
Fuchs, Marcel ;1979;79;Securitiy;1;REP;NW;13;
Fuchs, Sandra ;1967;99;Selbständig;2;AfD;SH;8;
Fuchs, Steffen ;1970;76;Beamter;1;GRÜNE;TH;8;192
Fuchtel, Hans-Joachim ;1952;76;MdB, Parlamentarischer Staatssekretär;1;CDU;;   ;280
Fuhl, Wolfgang ;1960;78;Angestellter;1;AfD;;   ;282
Fuhrer, Christian ;1962;62;Techniker;1;REP;MV;2;
Fulde, Joachim Paul Bernhard ;1948;69;Bankfachwirt;1;FREIE WÄHLER;BY;34;243
Funk, Alexander ;1974;88;Diplom-Kaufmann;1;CDU;SL;4;299
Funk, Reinhard Johannes ;1958;29;Werkzeugmacher;1;MLPD;;   ;138
Funke, Anne ;1988;94;Studentin;2;PIRATEN;ST;3;
Furch, Bernhard ;1959;88;Diplom-Betriebswirt;1;PIRATEN;;   ;207
Füsers, Stefan ;1980;88;Sozialwissenschaftler;1;Anderer KWV;;   ;18
Gaarz, Timo ;1977;76;Diplom-Finanzwirt (FH);1;CDU;SH;23;
Gabbert, Klaus-Dieter ;1959;40;Fleischer;1;FREIE WÄHLER;MV;4;14
Gäbel, Hans-Jürgen ;1946;95;Rentner;1;Anderer KWV;;   ;258
Gabler, Norman ;1958;75;Geschäftsführer;1;FDP;HE;24;
Gabriel, Sigmar ;1959;76;MdB, Bundesminister a.D.;1;SPD;NI;1;49
Gabriel, Udo ;1956;62;Maschinenbautechniker;1;DIE LINKE;NW;28;145
Gade, Dr. Gunther Dietrich ;1973;81;Volljurist;1;AfD;MV;3;
Gädechens, Ingo ;1960;76;MdB, Berufssoldat;1;CDU;SH;7;9
Gaisenkersting, Hans Dietmar ;1967;88;Diplom-Pädagoge;1;PSG;NW;1;
Gaitzsch, Torsten Matthias ;1981;82;Journalist;1;Die PARTEI;HE;15;
Gallandi, Dr. Volker ;1955;81;Rechtsanwalt;1;FREIE WÄHLER;HE;2;188
Galle, Ronald ;1957;60;Fernmeldeingenieur;1;BüSo;SN;6;
Gallina, Anna ;1983;87;Geschäftsführerin eines Universitätspräsidiums;2;GRÜNE;HH;5;20
Gambke, Dr. Thomas ;1949;76;MdB, Physiker;1;GRÜNE;BY;8;228
Ganskow, Thomas Ernst Erich Emil ;1967;78;Industriekaufmann;1;PIRATEN;NI;14;
Gansky, Peter ;1961;87;Oberstudienrat;1;ÖDP;;   ;268
Garbe, Heinrich Theodor ;1955;82;Redakteur;1;AfD;NW;36;
Garbracht, Kerstin ;1957;60;Diplom-Ingenieurin;2;AfD;NW;8;106
Garcia Garcia, Irene Veronika ;1957;76;Verwaltungsangestellte;2;DIE VIOLETTEN;BY;1;
Garcia, Annette ;1976;81;Diplom-Wirtschaftsjuristin (FH);2;FREIE WÄHLER;TH;2;192
Garnier von, Mark Anthony ;1972;77;IT-Berater;1;FAMILIE;;   ;209
Gärtner, Andreas ;1963;77;Systemadministrator;1;PIRATEN;;   ;94
Gärtner, Gabriele ;1977;29;Werkzeugmacherin;2;MLPD;NW;2;103
Gärtner, Joachim Karl Ludolf ;1948;87;Lehrer;1;MLPD;HE;3;168
Gärtner, Johann Karl ;1950;78;Kaufmann;1;REP;BY;1;
Gärtner, Lisa Ursula ;1986;31;Mechatronikerin;2;MLPD;TH;4;
Gärtner, Mario ;1980;28;Kfz-Meister;1;PIRATEN;;   ;33
Gärtner, Stephan Johann ;1976;91;Gastronom;1;REP;BY;37;
Gastel, Matthias ;1970;75;Selbständiger Wirtschaftsmediator;1;GRÜNE;BW;10;262
Gatter, Jens ;1986;75;Referent;1;NPD;;   ;151
Gattner, Thomas ;1982;39;Fachkraft für Süßwarentechnik;1;FREIE WÄHLER;NW;9;134
Gatz, Cornelia ;1973;49;Raumausstatterin;2;DIE VIOLETTEN;BY;33;
Gauland, Dr. Alexander Eberhardt ;1941;95;Staatssekretär a.D., Publizist;1;AfD;BB;1;
Gaus, Alexander ;1984;94;Student;1;GRÜNE;BW;30;293
Gaus, Dr. Henning ;1958;60;Ingenieur;1;FREIE WÄHLER;;   ;272
Gausmann, Stephanus ;1965;60;Maschinenbauingenieur;1;PBC;NI;4;
Gauweiler, Dr. Peter ;1949;76;MdB, Rechtsanwalt;1;CSU;;   ;220
Geb, Christiane ;1958;88;Diplom-Psychologin;2;AfD;;   ;105
Gebauer, Steffen Lars ;1971;75;Organisationsleiter;1;AfD;BW;24;
Gebert, Torsten ;1972;75;Unternehmer;1;FDP;MV;8;
Gebhardt, Herbert Alexander ;1944;95;Oberstudienrat a.D.;1;ÖDP;BW;8;276
Gebhart, Dr. Thomas ;1971;76;Mitglied des Deutschen Bundestages;1;CDU;RP;8;212
Gebhart, Viktor Maria ;1985;94;Student;1;Tierschutzpartei;BY;3;
Gecgel, Ali Riza ;1970;70;Im Kundendienst;1;MLPD;NW;12;
Gehrcke-Reymann, Wolfgang ;1943;82;Journalist;1;DIE LINKE;HE;2;183
Gehring, Kai Boris ;1977;76;MdB, Diplom-Sozialwissenschaftler;1;GRÜNE;NW;10;120
Gehrke, Dr. Axel ;1942;84;Arzt, Universitätsprofessor;1;AfD;SH;9;10
Geider, Bernd ;1953;75;Unternehmer;1;NPD;;   ;260
Geiger, Alexander ;1981;31;Hörgeräteakustiker;1;GRÜNE;BW;28;278
Geiger, Markus ;1979;78;Angestellter (IT);1;PARTEI DER VERNUNFT;BY;15;
Geiger, Ronald ;1969;88;Diplom-Kaufmann;1;AfD;BW;2;258
Geis, Nedeljka ;1971;77;Systemanalytikerin;2;SPD;RP;23;
Geislinger, Robert ;1988;77;IT-Systemkaufmann;1;PIRATEN;;   ;36
Geissler, Jonas Alexander Tecumseh ;1984;88;Doktorand;1;CSU;BY;62;
Geißler, Lola Beate Friederike ;1960;86;Sozialpädagogin;2;DIE FRAUEN;BY;10;
Geng, Dr. Norbert ;1965;87;Professor;1;PARTEI DER VERNUNFT;BW;3;
Genschorek, Maria ;1989;94;Studentin;2;GRÜNE;ST;7;
Gentsch, Patrick ;1976;76;Referent;1;NPD;;   ;165
Georgiou, Gabriele ;1955;78;Angestellte;2;MLPD;HB;2;
Gerard, Michel Philippe ;1979;60;Ingenieur;1;Die PARTEI;HH;14;18
Gerber, Bernd Bruno ;1953;78;Verwaltungsfachwirt;1;FREIE WÄHLER;SN;1;
Gerdes, Michael ;1960;7;Elektrohauer;1;SPD;NW;45;125
Gerig, Alois ;1956;76;MdB,Landwirtschaftsmeister;1;CDU;;   ;276
Gernegroß, Andreas ;1972;78;Kaufmännischer Angestellter;1;GRÜNE;ST;8;
Gerr, Michael ;1966;83;Bildender Künstler;1;GRÜNE;BY;22;
Gersberg, Nadine ;1977;88;Diplom-Sozialwissenschaftlerin;2;SPD;HE;30;
Gerster, Martin ;1971;76;Mitglied des Deutschen Bundestages;1;SPD;BW;9;292
Gerstle, Hans-Günter ;1959;99;Selbständig;1;AfD;RP;23;
Gervelmeyer, Ralf ;1970;75;Unternehmer;1;PBC;;   ;39
Gerwert, Thomas-Dieter ;1969;75;Unternehmensberater;1;PIRATEN;NI;11;
Gesinn, Antje ;1965;85;Heilpraktikerin;2;GRÜNE;HE;15;177
Giar, Johannes ;1987;94;Student;1;SPD;HE;39;
Gienger, Eberhard ;1951;76;MdB,Kaufmann;1;CDU;;   ;266
Giermann, Rita Maria ;1941;95;Rentnerin;2;MLPD;HH;4;
Giesbert, Tim ;1980;88;Diplom-Sozialwissenschaftler;1;GRÜNE;;   ;118
Giese, Herta-Margarete ;1935;95;Realschullehrerin i. R.;2;Tierschutzpartei;NI;1;
Gillet, Elmar ;1965;75;Unternehmer;1;GRÜNE;NW;22;91
Gilsdorf, Cyrill Bernhard Erik ;1966;3;Staatlich geprüfter Agrarhelfer;1;ÖDP;NW;23;
Ginsbach, Patrick ;1984;76;Landesangestellter;1;GRÜNE;SL;6;
Giousouf, Cemile ;1978;76;Referentin im Ministerium für Arbeit, Integration und Soziales;2;CDU;NW;25;138
Gladigau, Jürgen ;1969;75;Geschäftsführer Vertrieb;1;AfD;;   ;223
Glas, Bärbel ;1962;81;Rechtsanwältin, Mediatorin;2;CDU;RP;18;
Glaser, Albrecht Heinz Erhard ;1942;95;Kämmerer der Stadt Frankfurt a. D.;1;AfD;HE;3;
Glathe-Braun, Eva-Maria ;1958;79;Theaterangestellte;2;DIE LINKE;BW;13;291
Gleicke, Iris ;1964;60;Diplom-Ingenieurin (FH);2;SPD;TH;2;197
Gleisenstein, Jörg ;1973;60;Diplom-Ingenieur;1;GRÜNE;;   ;63
Glienke, Björn ;1978;94;Student;1;PIRATEN;;   ;85
Glienke, Harro ;1958;60;Diplom-Ingenieur (FH);1;PIRATEN;MV;7;17
Glöckner, Angelika ;1962;78;Verwaltungswirtin;2;SPD;RP;11;211
Glowka, Heiko ;1969;53;Arbeiter;1;NPD;;   ;89
Gmelch, Therese ;1955;86;Altenpflegerin;2;MLPD;BY;2;
Gminder, Franziska ;1945;88;Diplom-Kauffrau;2;AfD;BW;21;
Gnann, Christa ;1965;86;Erzieherin;2;ÖDP;BW;6;
Göbel, Michael ;1963;75;Vertriebsleiter;1;FREIE WÄHLER;RP;10;
Gockenbach, Maria ;1979;75;Unternehmerin;2;Tierschutzpartei;BW;4;
Goedeke, Werner ;1949;95;Rentner;1;NPD;;   ;121
Goergens, Ludwig ;1949;88;Diplom-Volkswirt;1;pro Deutschland;NI;5;
Goerlich, Rudolf ;1943;75;Steuerberater;1;FREIE WÄHLER;BW;13;
Goetz, Ulrich ;1980;94;Student;1;Die PARTEI;BE;23;
Goffart, Bernd ;1966;78;Kommunalbeamter (Städtischer Oberamtsrat);1;CDU;NW;59;
Göggelmann, Britta ;1992;94;Studentin;2;ÖDP;BW;12;
Göggelmann, Klaus ;1960;87;Realschullehrer;1;ÖDP;BW;22;
Göggelmann, Ute ;1959;82;Diplom-Übersetzerin;2;ÖDP;BW;13;
Gohl, Dr. Christopher ;1974;76;Wissenschaftlicher Mitarbeiter;1;FDP;BW;15;290
Göhler, Karel ;1972;78;Angestellter;1;MLPD;SN;4;
Gohlke, Nicole ;1975;76;MdB, Kommunikationswissenschaftlerin;2;DIE LINKE;BY;3;220
Gökhan, Zeki ;1956;74;Lagerarbeiter;1;DIE LINKE;;   ;91
Gold, Ralf ;1968;81;Justizvollzugsbeamter;1;BP;;   ;250
Goldmann, Hans-Michael ;1946;76;Mitglied des Deutschen Bundestages;1;FDP;NI;5;25
Goldschmidt, Hans-Joachim ;1950;70;Riseverkehrskaufmann;1;pro Deutschland;BE;3;
Goldstein, Ulrike ;1976;81;Rechtsanwältin;2;GRÜNE;BY;27;219
Goletz, Philipp Simon ;1954;83;Entertainer;1;FREIE WÄHLER;BY;16;240
Golombeck, Heinz ;1948;76;Mitglied des Deutschen Bundestages;1;FDP;BW;27;271
Golze, Diana Hertha ;1975;76;MdB, Diplom-Sozialpädagogin;2;DIE LINKE;BB;1;60
Göpfert, Carsten ;1973;75;Sales Manager IT;1;PIRATEN;;   ;293
Göppel, Josef ;1950;76;MdB, Diplom-Forstingenieur (FH);1;CSU;;   ;241
Göring-Eckardt, Katrin Dagmar ;1966;76;Mitglied des Deutschen Bundestages;2;GRÜNE;TH;1;
Göritz, Veit ;1985;78;Angestellter;1;PIRATEN;BB;1;
Görler, Uwe Hans ;1960;82;Wirtschafts- und Finanzredakteur;1;pro Deutschland;BY;2;
Görmann, Horst Günter ;1953;31;Elektriker;1;NPD;HB;1;55
Görnemann, Uwe Detlev ;1953;78;Kaufmann;1;pro Deutschland;ST;1;
Gornik, Charlotte ;1944;91;Gastwirtin;2;BP;BY;20;
Görnitz, Steve ;1987;81;Diplom-Jurist;1;FDP;SN;11;154
Gorsler, Daniel ;1986;94;Student;1;PARTEI DER VERNUNFT;BW;9;
Görzel, Volker ;1970;81;Rechtsanwalt;1;FDP;NW;50;95
Göschel, Ingo Lutz ;1955;70;Immobilienmarkler;1;FREIE WÄHLER;SN;6;165
Göschel, Michael Gerhard ;1975;80;Offizier;1;AfD;BY;5;
Göthert, Tobias ;1989;83;Fachkraft für Veranstaltungstechnik;1;Die PARTEI;;   ;162
Gottberg von, Wilhelm ;1940;95;Beamter i.R.;1;AfD;NI;8;
Gottesleben, Jörg ;1968;71;Taxiunternehmer;1;FREIE WÄHLER;TH;9;
Göttling, Tobias ;1993;94;Student;1;CDU;BW;22;
Göttner-Abendroth, Dr. Heide ;1941;88;Wissenschaftlerin;2;DIE FRAUEN;BY;1;
Gottschalck, Ulrike ;1955;76;Mitglied des Deutschen Bundestages;2;SPD;HE;10;168
Gottschalk, Kay ;1965;75;Organisationsleiter;1;AfD;HH;2;18
Graaf, Andreas ;1982;78;Verwaltungsfachangestellter;1;PIRATEN;NW;7;104
Graber, Gabriel ;1980;75;Veranstaltungskaufmann;1;BIG;BW;2;
Grader, Wolfgang ;1960;87;Lehrer;1;GRÜNE;BY;40;236
Graf, Hans-Jürgen ;1969;28;Kfz-Mechaniker;1;NPD;TH;12;
Graf, Irina ;1961;87;Lehrerin;2;DIE LINKE;BY;15;216
Graf, Josef ;1960;69;Bankkaufmann;1;NPD;;   ;79
Grahn, Rene David ;1992;44;Maurer;1;NPD;NI;9;45
Grambow, Thomas ;1963;76;Diplom-Verwaltungswirt;1;SPD;NI;51;
Gramm, Johannes Dieter ;1964;83;Freiberufler, Künstler;1;Anderer KWV;;   ;120
Granderath, Dorothee ;1966;81;Richterin;2;GRÜNE;BW;33;283
Granser, Bruno ;1953;60;Vermessungsingenieur;1;REP;BW;13;
Gräntzdörffer, Josiane Insa Thembi ;1984;60;Projektassistenz Schiffbau;2;PIRATEN;HH;3;19
Gras, Klaus Alfons ;1953;28;KFZ-Meister;1;NPD;;   ;210
Grasenack-Tente, Daniel-Enrico ;1984;78;Kaufmännischer Angestellter;1;BüSo;BE;7;86
Graudin, Dr. Andreas ;1965;81;Jurist;1;pro Deutschland;HE;1;
Graue, Oliver ;1967;82;Redakteur;1;ÖDP;HH;4;
Graupner, Richard ;1963;80;Polizeihauptkommissar;1;REP;BY;10;
Greilich, Annette ;1958;87;Oberstudiendirektorin;2;FDP;HE;38;
Greim, Oswald Emil ;1954;86;Sozialsekretär;1;DIE LINKE;;   ;245
Grein, Thomas ;1960;83;Schildermaler;1;DIE LINKE;;   ;282
Greipel, Werner Otto ;1949;75;Steuerberater;1;AfD;;   ;291
Gremmler, Dr. Bernhard ;1948;84;Arzt, Kardiologe;1;ÖDP;NW;8;
Gremmler, Simon Martin ;1983;88;Diplom-Geophysiker;1;ÖDP;NW;5;
Grenda, Frank ;1967;69;Bankkaufmann;1;PIRATEN;;   ;106
Grey, Thomas ;1975;60;Bauingenieur;1;NPD;ST;4;
Grieb, Bernhard ;1969;61;Diplom-Mathematiker;1;FREIE WÄHLER;BW;21;
Griesbaum, Joachim Robert Maria ;1955;25;Schlosser;1;MLPD;HH;1;
Griese, Kerstin ;1966;76;Mitglied des Deutschen Bundestages;2;SPD;NW;8;105
Grimm, Christoph Herbert Walter ;1957;81;Rechtsanwalt;1;AfD;MV;2;
Grimm, Ulrike Eleonore ;1962;35;Schneidermeisterin;2;CSU;BY;49;
Grindel, Reinhard Dieter ;1961;76;MdB, Fernsehjournalist;1;CDU;NI;9;35
Groden-Kranich, Ursula ;1965;69;Bankkauffrau;2;CDU;RP;15;206
Groeneveld, Hinrich ;1958;72;Flugkapitän;1;FREIE WÄHLER;BY;31;215
Gröhe, Hermann ;1961;76;MdB, Jurist;1;CDU;NW;4;108
Grohganz, Raphael ;1952;75;Steuerbevollmächtigter;1;CDU;HE;28;
Gröhler, Klaus-Dieter ;1966;81;Jurist, Bezirksstadtrat;1;CDU;;   ;80
Groll, Franz ;1943;60;Ingenieur;1;DIE LINKE;;   ;280
Groneberg, Gabriele ;1955;78;Fremdsprachensekretärin;2;SPD;NI;22;32
Gröner, Friedrich ;1947;78;Kaufmann;1;BüSo;BW;7;
Groß, Michael Peter ;1956;75;Geschäftsbereichsleiter;1;SPD;NW;40;122
Große, Steffen ;1967;82;Diplom-Journalist;1;FREIE WÄHLER;SN;4;160
Grosse-Brömer, Michael ;1960;76;MdB, Rechtsanwalt, Notar a.D.;1;CDU;NI;2;36
Grosser, Lüder ;1973;62;Techniker;1;BüSo;BW;8;
Großjean, Marc ;1986;94;Student;1;PIRATEN;SL;2;296
Grote, Burghard ;1946;95;Rentner;1;GRÜNE;;   ;134
Grotelüschen, Astrid ;1964;88;Diplom-Oecotrophologin;2;CDU;NI;11;28
Groth, Annette ;1954;76;Mitglied des Deutschen Bundestages;2;DIE LINKE;BW;5;293
Grötsch, Uli ;1975;80;Polizeibeamter;1;SPD;BY;15;235
Grötze, Ingo ;1969;88;Diplom-Betriebswirt (FH);1;GRÜNE;;   ;71
Grötzsch, Manfred ;1946;60;Bauingenieur;1;BüSo;SN;5;
Grötzsch, Stefan ;1986;94;Student;1;Die PARTEI;HE;9;
Grube, Oliver ;1970;77;Netzwerk- und Security-Manager;1;PIRATEN;SH;2;8
Grübel, Markus ;1959;76;Mitglied des Deutschen Bundestages;1;CDU;;   ;261
Gruber, Daniel ;1987;77;Anwendungsentwickler;1;PIRATEN;;   ;241
Gruber, Sabine Ursula ;1959;78;Sachbearbeiterin Immobilienwirtschaft;2;DIE VIOLETTEN;BY;28;
Grüllich-Mack, Matthias ;1966;60;Freier Architekt;1;PIRATEN;BW;17;
Grumich, Horst Josef Walter ;1950;78;Technischer Betriebswirt;1;FDP;NW;56;136
Grund, Manfred ;1955;76;MdB, Diplom-Elektroingenieur;1;CDU;TH;1;189
Gründler, Birgitta ;1961;71;Taxifahrerin;2;BüSo;;   ;158
Gründler, Michael Johannes ;1958;78;Angestellter;1;BüSo;SN;1;159
Grundmann, Bastian ;1982;77;Fachinformatiker, Techniker;1;PIRATEN;;   ;5
Grundmann, Oliver ;1971;75;Geschäftsführer, Rechtsanwalt;1;CDU;NI;20;30
Grüner, Anton ;1951;62;Technischer Angestellter;1;REP;BY;6;
Gruner, Stefanie ;1980;81;Rechtsanwältin;2;GRÜNE;SN;7;152
Grunert, Benno ;1935;95;Rentner;1;NPD;;   ;269
Grunert, Jörg ;1966;60;Diplom-Ingenieur (FH) Informationstechnologie;1;FREIE WÄHLER;;   ;38
Grünewald, Heinz Werner ;1962;69;Versicherungs-Fachmann;1;NPD;HE;4;
Grünler, Kai ;1971;77;Informatiker;1;PIRATEN;SN;14;166
Grunzel, Michael ;1969;82;Journalist;1;NPD;ST;5;68
Grupe, Alexander ;1978;77;Software-Entwickler;1;Die PARTEI;HH;1;
Gruß, Miriam ;1975;76;Mitglied des Deutschen Bundestages;2;FDP;BY;3;252
Grütters, Monika ;1962;75;Stiftungsvorstand, Honorarprofessorin;2;CDU;BE;1;85
Guckenbiehl, Oliver ;1982;70;Selbstständiger Immobilienmakler;1;SPD;RP;34;
Guckert, Andreas ;1980;78;Angestellter;1;PIRATEN;SL;5;299
Gudella de Graaf, Ute ;1958;85;Physiotherapeutin;2;SPD;NI;52;
Gührs, Dr. Erik ;1982;61;Physiker;1;SPD;BE;10;86
Güllich, Hans-Jürgen ;1962;28;Kfz-Mechaniker;1;NPD;;   ;283
Gums, Rüdiger ;1959;31;Elektromechaniker;1;Anderer KWV;;   ;33
Gundelach, Dr. Herlind Magdalena ;1949;95;Senatorin a.D.;2;CDU;HH;3;23
Gundelbacher, Thomas ;1964;71;Berufskraftfahrer;1;PIRATEN;;   ;47
Gunkel, Angelika Eleonore Wilhelmine ;1955;78;Angestellte;2;GRÜNE;HE;19;180
Gunkel, Wolfgang Michael ;1947;76;Mitglied des Deutschen Bundestages;1;SPD;SN;5;164
Günther, Reinhard ;1944;75;Selbständiger Unternehmensberater;1;FDP;BW;35;280
Günther, Thomas Joachim ;1951;7;Bergbaumaschinist;1;MLPD;SN;3;
Günther, Uwe ;1932;95;Rentner;1;RENTNER;SH;2;
Güntzler, Fritz ;1966;75;Wirtschaftsprüfer, Steuerberater;1;CDU;NI;10;53
Gurack, Ditte ;1973;87;Dozentin;2;GRÜNE;NW;25;
Gutsch, Alexander ;1989;80;Brandmeisteranwärter;1;Anderer KWV;;   ;135
Gutsche, Hermann Josef Andreas ;1954;77;EDV-Berater;1;NPD;SH;2;5
Gutting, Olav Steffen ;1970;76;MdB, Rechtsanwalt;1;CDU;;   ;278
Guzy, Joachim Josef ;1958;88;Diplom-Psychologe;1;FREIE WÄHLER;SN;7;159
Gysi, Dr. Gregor ;1948;76;MdB, Rechtsanwalt;1;DIE LINKE;BE;1;84
Haack, Andreas ;1979;39;Bäcker;1;NPD;;   ;29
Haag, Rainer ;1962;25;Kranmonteur;1;REP;BW;11;271
Haage, Gert ;1948;88;Diplom-Staatswissenschaftler;1;FREIE WÄHLER;SN;9;
Haarmann, Kerstin ;1966;76;Kämmerin;2;GRÜNE;NW;23;137
Haas, Angelika ;1941;82;Diplom-Bibliothekarin;2;REP;BY;49;
Haase, Christian ;1966;76;Bürgermeister;1;CDU;;   ;136
Haase, Martin ;1955;75;Unternehmensberater;1;AfD;NW;12;100
Haase, Stephan ;1968;17;Offset-Drucker;1;NPD;NW;2;149
Haase, Wilfried Harald ;1940;61;Diplom-Chemiker;1;FREIE WÄHLER;BB;6;57
Habedank, Andre ;1972;99;Selbständig;1;AfD;ST;9;
Habel, Peter ;1963;60;Architekt;1;FDP;SL;9;
Häberle, Axel ;1956;81;Jurist;1;CDU;BW;55;
Habermann, Heike Margot ;1956;78;Sekretärin;2;GRÜNE;HE;23;
Haböck, Vera ;1974;85;Medizinisch-Technische Radiologieassistentin;2;FDP;SL;6;
Hacker, Hans-Joachim ;1949;81;Diplom-Jurist;1;SPD;MV;4;12
Hacker, Sebastian ;1984;77;Softwareentwickler;1;PIRATEN;;   ;164
Haddouti, Mohamed ;1968;77;Informatiker;1;BIG;NW;9;
Haderer, Roland ;1949;31;Elektro-Installateur;1;BüSo;HE;7;
Haenschke, Gustav Walter ;1948;95;Rentner;1;NPD;ST;7;69
Haese, Peter Joachim Bruno ;1937;95;Rentner;1;NPD;;   ;233
Häfen von, Sylvia ;1974;85;Krankenschwester;2;DIE LINKE;NW;20;118
Hagedorn, Bettina ;1955;76;MdB, Goldschmiedin;2;SPD;SH;2;9
Hagedorn, Nicolai ;1976;87;Lehrer;1;Die PARTEI;HE;17;
Hagelstede, Guido ;1967;88;Betriebswirt,Gefahrgutbeauftragter;1;DIE LINKE;;   ;29
Hagelstein, Dirk Gene ;1967;78;Angestellter;1;SPD;HE;23;185
Hagemann, Willy ;1989;94;Student;1;SPD;BB;15;
Hagen, Heide ;1956;30;Goldschmiedin;2;PIRATEN;BE;9;
Häger, Iris ;1971;85;Krankenschwester;2;FREIE WÄHLER;;   ;98
Häggberg, Florian ;1972;60;Ingenieur;1;ÖDP;HH;6;
Häggberg, Verena ;1973;89;Pastorin;2;ÖDP;HH;3;
Hagl-Kehl, Rita ;1970;87;Studienrätin;2;SPD;BY;20;227
Hahn, Andreas ;1971;75;Produktionsmanager;1;PIRATEN;BW;8;277
Hahn, Dr. Andre Peter Frank ;1963;76;Mitglied des Landtages;1;DIE LINKE;SN;2;158
Hahn, Florian ;1974;76;Mitglied des Deutschen Bundestages;1;CSU;BY;23;222
Hahn, Julius ;1994;98;Auszubildender zum Verwaltungsfachangestellten;1;PIRATEN;;   ;147
Hahn, Peter ;1958;48;Dachdecker;1;REP;RP;7;
Hähnel, Stella ;1972;78;Kauffrau;2;NPD;BB;2;
Hähnlein, Rene ;1971;78;Industriekaufmann;1;DIE LINKE;;   ;238
Haider, Bernd ;1968;60;Diplom-Ingenieur;1;REP;MV;3;
Hajduk, Anja Margarete Helene ;1963;88;Diplom-Psychologin;2;GRÜNE;HH;1;21
Hajek, Rainer ;1945;67;Groß- und Außenhandelskaufmann;1;CDU;NI;31;
Hakverdi, Metin ;1969;81;Rechtsanwalt;1;SPD;HH;8;23
Halbe, Bastian ;1993;98;Auszubildender Zerspanungsmechaniker;1;PIRATEN;;   ;149
