Name, Vorname;Geburtsjahr;Berufsschlüssel;Beruf/Stand;Geschlecht;Partei;Land;Platz;Wahlkreis
Armstroff, Dörthe ;1958;83;Fotografin;2;NPD;;   ;209
Armstroff, Klaus ;1957;31;Elektriker;1;NPD;;   ;212
Arndt, Hans ;1957;54;Kraftwerksmeister;1;FREIE WÄHLER;RP;8;208
Arndt, Volker Andreas ;1977;82;TV-Redakteur;1;PIRATEN;BY;20;
Arndt-Brauer, Ingrid ;1961;76;MdB, Diplom-Kauffrau, Diplom-Soziologin;2;SPD;NW;6;124
Arnold, Bendrick ;1946;95;Rentner;1;MLPD;BY;12;
Arnold, Friedrich Robert ;1976;88;Diplom-Volkswirt;1;PIRATEN;NW;21;
Arnold, Rainer ;1950;76;Mitglied des Deutschen Bundestages;1;SPD;BW;5;262
Arnold, Sascha ;1977;28;Fluggerätemechaniker;1;NPD;;   ;186
Artus, Kersten Angela ;1964;82;Redakteurin;2;DIE LINKE;HH;5;20
Arweiler, Pascal ;1992;94;Student;1;SPD;SL;6;
Aschenberg-Dugnus, Christine ;1959;81;Rechtsanwältin;2;FDP;SH;5;4
Aslanidis, Spiridon ;1969;75;Projektleiter;1;GRÜNE;SH;8;11
Assmann, Marcus-Alexander ;1984;61;Physiker;1;Die PARTEI;HE;16;171
Aßmuth, Bodo Dirk ;1964;60;Diplom-Ingenieur (FH);1;AfD;NW;21;108
Atalan, Ali ;1968;88;Diplom-Sozialwissenschaftler;1;DIE LINKE;;   ;127
Auernhammer, Artur Friedrich ;1963;1;Landwirtschaftsmeister;1;CSU;BY;34;
Augner, Claas ;1990;94;Student;1;Die PARTEI;BE;10;
Augustin, Marius ;1981;92;Schlafwagenschaffner;1;NEIN!;;   ;214
Augustinowski, Klaus ;1937;65;Industriemeister Maschinenbau;1;Volksabstimmung;NW;3;
Aulenbacher, Reiner ;1957;62;Elektrosteiger;1;MLPD;SL;4;
Aurnhammer, Tom Thomas Hans Michael ;1966;83;Mediengestalter Bild und Ton;1;GRÜNE;BY;30;246
Außendorf, Maik ;1971;61;Diplom-Mathematiker;1;GRÜNE;NW;36;100
Aust, Jonas ;1990;94;Schüler;1;PIRATEN;;   ;131
Aye, Werner ;1950;84;Apotheker;1;ÖDP;NW;10;
Aymaz, Berivan ;1972;82;freiberufliche Moderatorin, Übersetzerin;2;GRÜNE;;   ;93
Baare, Johannes ;1978;81;Rechtsanwalt;1;AfD;HE;15;
Babatankuz, Mehmet ;1960;95;Rentner;1;Anderer KWV;;   ;90
Baberowski, Nadja ;1987;88;Politologin (B.A.), Masterstudentin;2;PIRATEN;SN;5;
Babic, Safet ;1981;88;Politologe M.A.;1;NPD;RP;3;204
Bablick, Raphael ;1978;87;Berufsschullehrer;1;FREIE WÄHLER;BY;24;214
Bach, Bela ;1990;94;Studentin;2;SPD;BY;32;222
Bach, Sebastian Freimund ;1982;83;Mediengestalter;1;DIE LINKE;TH;9;
Bächle-Blum, Christel ;1959;77;Diplom-Informatikerin (FH);2;FREIE WÄHLER;BW;2;286
Bachmann, Brigitte ;1956;70;Speditionskauffrau;2;SPD;BY;34;232
Backes, Veronika ;1956;78;Angestellte;2;CDU;HE;46;
Bade, Hartmut ;1961;99;Selbstständig;1;FDP;BE;8;75
Bader, Jürgen Albert Richard ;1960;17;Drucker;1;MLPD;HH;2;19
Bader, Nils ;1980;80;Polizeibeamter;1;SPD;NI;53;
Badum, Lisa ;1983;88;Politologin;2;GRÜNE;BY;13;
Baehrens, Heike ;1955;75;Geschäftsführerin, Diakonin;2;SPD;BW;16;263
Baerbock, Annalena Charlotte Alma ;1980;81;Völkerrechtlerin;2;GRÜNE;BB;1;61
Bahmann, Uwe ;1958;80;Kriminalhauptkommisar;1;AfD;;   ;87
Bahr, Daniel ;1976;76;Bundesminister;1;FDP;NW;2;129
Bähr, Dr. Jürgen ;1948;61;Diplom-Physiker;1;FREIE WÄHLER;BB;5;
Bahr, Ulrike Renate Martina ;1964;87;Lehrerin;2;SPD;BY;16;252
Bähr-Losse, Bettina ;1967;81;Rechtsanwältin;2;SPD;NW;36;98
Bahtiri, Tatjana ;1977;82;Dolmetscherin;2;REP;NW;5;
Balbin, Björn-Christopher ;1971;5;Gärtner;1;NPD;;   ;221
Balci, Osman ;1963;26;Heizungsmonteur;1;BIG;BW;8;
